,X,Y
0,7,95
1,25,8
2,82,27
3,15,98
4,61,39
5,91,31
6,8,97
7,65,25
8,14,13
9,75,76
10,38,38
11,20,61
12,32,12
13,35,90
14,40,56
15,14,23
16,18,96
17,1,5
18,54,11
19,62,56
20,51,64
21,6,5
22,88,87
23,75,37
24,29,74
25,31,40
26,18,56
27,53,25
28,86,33
29,28,43
30,69,13
31,59,69
32,15,10
33,0,12
34,9,34
35,77,45
36,59,64
37,56,54
38,18,60
39,60,88
40,92,69
41,30,4
42,64,35
43,56,55
44,14,1
45,32,96
46,84,96
47,94,39
48,71,23
49,45,84
50,81,70
51,80,98
52,92,85
53,1,8
54,97,69
55,71,61
56,49,83
57,65,77
58,95,60
59,2,48
60,85,45
61,49,68
62,14,43
63,56,37
64,74,98
65,74,46
66,20,5
67,3,30
68,6,96
69,73,46
70,80,9
71,55,94
72,64,37
73,74,96
74,10,97
75,87,49
76,33,78
77,51,54
78,55,33
79,54,24
80,91,72
81,92,34
82,7,39
83,78,77
84,81,14
85,64,49
86,57,32
87,36,97
88,41,68
89,78,34
90,51,20
91,51,62
92,62,71
93,83,11
94,39,71
95,68,97
96,56,16
97,72,1
98,56,0
99,42,55
